"Punkt_ID" "X[m]" "Y[m]" "Z[m]" "PCode" "ErrCode" "P_X[m]" "dh[m]" "DOF" "D_XX[cm^2]" "D_YY[cm^2]" "D_ZZ[cm^2]" "D_XY[cm^2]" "D_XZ[cm^2]" "D_YZ[cm^2]"
25 -1040.918 2086.405 1966.731 0 0 0.02 0.89 1 137.9 712.5 5378.2 -103.4 321.8 -1781.3
26 -1064.066 2086.164 1958.292 0 0 0.043 1.028 1 149.4 712.5 5435.7 -126.4 367.7 -1792.7
27 -1074.328 2085.443 1954.751 0 0 0.036 0.938 1 149.4 712.5 5470.2 -126.4 390.7 -1804.2
29 -1057.946 2085.191 1960.214 0 0 0.031 0.998 1 137.9 712.5 5424.2 -114.9 356.3 -1792.7
30 -1048.049 2084.771 1963.742 0 0 0.006 0.861 1 137.9 712.5 5401.2 -114.9 333.3 -1781.3
31 -1078.827 2084.436 1953.254 0 0 0.01 0.953 1 149.4 712.5 5481.7 -126.4 402.2 -1804.2
32 -1068.97 2084.188 1956.584 0 0 0.01 0.953 1 149.4 712.5 5458.7 -126.4 379.2 -1792.7
33 -1064.318 2082.993 1958.085 0 0 0.035 0.981 1 149.4 712.5 5447.2 -126.4 367.7 -1792.7
34 -1085.915 2082.901 1951.201 0 0 0.03 0.979 1 149.4 712.5 5493.1 -137.9 413.7 -1804.2
35 -1060.951 2081.481 1958.955 0 0 0.001 0.838 1 149.4 701 5435.7 -114.9 367.7 -1781.3
36 -1042.697 2081.751 1965.649 0 0 0.008 0.878 1 137.9 701 5389.7 -103.4 333.3 -1769.8
37 -1049.16 2080.04 1963.048 0 0 0.005 1.004 1 137.9 701 5412.7 -114.9 344.8 -1781.3
38 -1060.528 2078.701 1958.837 0 0 0.053 0.825 1 149.4 701 5435.7 -114.9 367.7 -1781.3
39 -1056.836 2077.564 1959.81 0 0 0.036 0.805 1 137.9 701 5435.7 -114.9 356.3 -1781.3
41 -1040.834 2077.513 1965.851 0 0 0.071 0.924 1 137.9 701 5389.7 -103.4 321.8 -1769.8
42 -1048.142 2077.489 1963.007 0 0 0.01 1.009 1 137.9 701 5412.7 -114.9 333.3 -1769.8
43 -1076.969 2077.096 1955.04 0 0 0.044 1.002 1 149.4 701 5470.2 -126.4 390.7 -1781.3
44 -1073.653 2076.812 1956.095 0 0 0.024 0.754 1 149.4 701 5458.7 -126.4 390.7 -1781.3
45 -1044.64 2076.792 1964.272 0 0 0.031 0.97 1 137.9 701 5401.2 -103.4 333.3 -1769.8
47 -1066.901 2075.677 1956.31 0 0 0.011 0.651 1 149.4 701 5458.7 -126.4 379.2 -1781.3
48 -1062.788 2075.617 1957.667 0 0 0.018 0.721 1 149.4 701 5447.2 -114.9 367.7 -1781.3
50 -1068.883 2072.817 1957.232 0 0 0 0.834 1 149.4 701 5447.2 -126.4 379.2 -1769.8
51 -1043.322 2072.648 1964.122 0 0 0.048 1.077 1 137.9 689.5 5401.2 -103.4 333.3 -1758.3
52 -1082.036 2072.339 1950.889 0 0 0.033 0.875 1 149.4 701 5493.1 -126.4 402.2 -1781.3
53 -1076.616 2071.969 1954.006 0 0 0.047 0.924 1 149.4 701 5470.2 -126.4 390.7 -1781.3
54 -1040.088 2071.941 1965.406 0 0 0.073 1.056 1 137.9 689.5 5389.7 -103.4 321.8 -1758.3
55 -1046.303 2070.965 1962.622 0 0 0.032 1.153 1 137.9 689.5 5412.7 -114.9 333.3 -1758.3
57 -1054.376 2069.918 1959.163 0 0 0.018 0.492 1 137.9 689.5 5435.7 -114.9 356.3 -1769.8
58 -1086.772 2068.444 1947.906 0 0 0.049 0.903 1 149.4 701 5516.1 -137.9 413.7 -1781.3
59 -1043.787 2068.011 1962.833 0 0 0.069 0.846 1 137.9 689.5 5412.7 -103.4 333.3 -1758.3
60 -1038.647 2067.463 1965.295 0 0 0.034 0.872 1 137.9 689.5 5389.7 -103.4 321.8 -1746.8
61 -1063.495 2067.205 1958.363 0 0 0.029 0.712 1 149.4 689.5 5435.7 -114.9 367.7 -1758.3
62 -1079.406 2066.909 1951.381 0 0 0.039 1.002 1 149.4 689.5 5493.1 -126.4 402.2 -1769.8
63 -1054.814 2066.793 1958.432 0 0 0.007 0.436 1 137.9 689.5 5435.7 -114.9 356.3 -1758.3
64 -1048.59 2066.674 1960.436 0 0 0.004 0.778 1 137.9 689.5 5424.2 -114.9 344.8 -1758.3
65 -1074.587 2066.319 1953.432 0 0 0.018 0.89 1 149.4 689.5 5481.7 -126.4 390.7 -1769.8
67 -1068.709 2065.545 1955.898 0 0 0.063 0.873 1 149.4 689.5 5458.7 -126.4 379.2 -1758.3
68 -1062.258 2064.758 1958.541 0 0 0.03 0.718 1 149.4 689.5 5435.7 -114.9 367.7 -1758.3
69 -1039.004 2064.527 1964.89 0 0 0.011 1.086 1 137.9 689.5 5389.7 -103.4 321.8 -1746.8
70 -1084.547 2064.458 1948.347 0 0 0.038 0.949 1 149.4 689.5 5516.1 -126.4 413.7 -1769.8
71 -1049.41 2063.892 1959.701 0 0 0.038 0.739 1 137.9 689.5 5435.7 -114.9 344.8 -1758.3
73 -1058.059 2063.271 1958.874 0 0 0.013 0.521 1 137.9 689.5 5435.7 -114.9 356.3 -1758.3
74 -1072.993 2062.752 1953.273 0 0 0.016 0.795 1 149.4 689.5 5481.7 -126.4 390.7 -1758.3
75 -1045.259 2061.779 1961.21 0 0 0.04 0.958 1 137.9 678 5424.2 -103.4 333.3 -1746.8
77 -1081.775 2060.624 1949.27 0 0 0.017 0.957 1 149.4 689.5 5504.6 -126.4 402.2 -1769.8
78 -1054.198 2061.149 1958.37 0 0 0.047 0.643 1 137.9 678 5435.7 -114.9 356.3 -1746.8
79 -1069.846 2060.657 1954.491 0 0 0.042 0.898 1 149.4 689.5 5470.2 -126.4 379.2 -1758.3
80 -1040.707 2060.586 1963.44 0 0 0.04 1.176 1 137.9 678 5401.2 -103.4 321.8 -1735.3
81 -1085.101 2059.538 1947.665 0 0 0 1.01 1 149.4 689.5 5516.1 -126.4 413.7 -1769.8
