Punkt_ID PCode X1[m] Y1[m] Z1[m] X2[m] Y2[m] Z2[m] dX[m] dY[m] dZ[m] dT[a] dX/T[cm] dY/T[cm] dZ/T[cm] dS_2D[m] dS_3D[m] dS_2D/T[cm] dS_3D/T[cm] Azimut[°] SurfAzimut[°] Slope[°] mX_1[cm] mY_1[cm] mZ_1[cm] mX_2[cm] mY_2[cm] mZ_2[cm] mP_1[cm] mP_2[cm] mS_2D[cm] mS_3D[cm] DelFlag
18 0 -1053.189 2073.566 1959.111 -1052.915 2073.693 1959.251 0.274 0.127 0.14 5 5.5 2.5 2.8 0.302 0.333 6 6.7 65.1321 294.8679 24.8712 0 0 0 0 0 0 0 0 0 0 0
20 0 -1057.841 2071.862 1957.673 -1057.598 2071.972 1957.685 0.243 0.11 0.012 5 4.9 2.2 0.2 0.267 0.267 5.3 5.3 65.6449 294.3551 2.5759 0 0 0 0 0 0 0 0 0 0 0
22 0 -1064.286 2068.603 1957.672 -1064.003 2068.765 1957.541 0.283 0.162 -0.131 5 5.7 3.2 -2.6 0.326 0.351 6.5 7 60.2115 299.7885 -21.8869 0 0 0 0 0 0 0 0 0 0 0
23 0 -1058.581 2067.455 1957.282 -1058.296 2067.584 1957.21 0.285 0.129 -0.072 5 5.7 2.6 -1.4 0.313 0.321 6.3 6.4 65.647 294.353 -12.9611 0 0 0 0 0 0 0 0 0 0 0
27 0 -1047.636 2052.826 1957.902 -1047.465 2053.033 1957.662 0.171 0.207 -0.24 5 3.4 4.1 -4.8 0.268 0.36 5.4 7.2 39.5597 320.4403 -41.7925 0 0 0 0 0 0 0 0 0 0 0
28 0 -1071.852 2050.159 1951.186 -1071.645 2050.377 1951.277 0.207 0.218 0.091 5 4.1 4.4 1.8 0.301 0.314 6 6.3 43.5174 316.4826 16.8414 0 0 0 0 0 0 0 0 0 0 0
33 0 -1066.382 2044.049 1952.3 -1066.12 2044.294 1952.186 0.262 0.245 -0.114 5 5.2 4.9 -2.3 0.359 0.376 7.2 7.5 46.9204 313.0796 -17.6308 0 0 0 0 0 0 0 0 0 0 0
54 0 -1009.547 2073.233 1979.229 -1009.356 2073.41 1979.095 0.191 0.177 -0.134 5 3.8 3.5 -2.7 0.26 0.293 5.2 5.9 47.1787 312.8213 -27.2297 0 0 0 0 0 0 0 0 0 0 0
55 0 -988.571 2071.898 1983.362 -988.339 2072.099 1983.215 0.232 0.201 -0.147 5 4.6 4 -2.9 0.307 0.34 6.1 6.8 49.095 310.905 -25.5892 0 0 0 0 0 0 0 0 0 0 0
56 0 -1026.22 2070.948 1971.483 -1026.054 2071.236 1971.609 0.166 0.288 0.126 5 3.3 5.8 2.5 0.332 0.355 6.6 7.1 29.9587 330.0413 20.7589 0 0 0 0 0 0 0 0 0 0 0
57 0 -1009.329 2069.129 1978.817 -1009.128 2069.382 1978.58 0.201 0.253 -0.237 5 4 5.1 -4.7 0.323 0.401 6.5 8 38.466 321.534 -36.2586 0 0 0 0 0 0 0 0 0 0 0
58 0 -988.845 2068.702 1983.888 -988.608 2068.852 1983.728 0.237 0.15 -0.16 5 4.7 3 -3.2 0.28 0.323 5.6 6.5 57.6698 302.3302 -29.7026 0 0 0 0 0 0 0 0 0 0 0
59 0 -994.883 2066.068 1985.26 -994.638 2066.24 1985.052 0.245 0.172 -0.208 5 4.9 3.4 -4.2 0.299 0.365 6 7.3 54.9296 305.0704 -34.7933 0 0 0 0 0 0 0 0 0 0 0
61 0 -986.301 2064.724 1985.497 -986.113 2064.872 1985.18 0.188 0.148 -0.317 5 3.8 3 -6.3 0.239 0.397 4.8 7.9 51.789 308.211 -52.9552 0 0 0 0 0 0 0 0 0 0 0
62 0 -982.135 2064.053 1986.412 -981.87 2064.155 1985.972 0.265 0.102 -0.44 5 5.3 2 -8.8 0.284 0.524 5.7 10.5 68.948 291.052 -57.164 0 0 0 0 0 0 0 0 0 0 0
64 0 -982.111 2058.987 1985.645 -981.821 2059.149 1985.459 0.29 0.162 -0.186 5 5.8 3.2 -3.7 0.332 0.381 6.6 7.6 60.8114 299.1886 -29.246 0 0 0 0 0 0 0 0 0 0 0
66 0 -1022.327 2057.729 1970.3 -1022.36 2058.261 1970.416 -0.033 0.532 0.116 5 -0.7 10.6 2.3 0.533 0.545 10.7 10.9 356.4505 3.5495 12.2777 0 0 0 0 0 0 0 0 0 0 0
70 0 -985.22 2050.554 1983.371 -985.046 2050.742 1983.198 0.174 0.188 -0.173 5 3.5 3.8 -3.5 0.256 0.309 5.1 6.2 42.7852 317.2148 -34.0331 0 0 0 0 0 0 0 0 0 0 0
71 0 -1008.829 2047.908 1972.166 -1008.625 2048.104 1972.125 0.204 0.196 -0.041 5 4.1 3.9 -0.8 0.283 0.286 5.7 5.7 46.1458 313.8542 -8.2463 0 0 0 0 0 0 0 0 0 0 0
72 0 -1015.781 2045.701 1969.257 -1015.604 2045.98 1968.934 0.177 0.279 -0.323 5 3.5 5.6 -6.5 0.33 0.462 6.6 9.2 32.3914 327.6086 -44.3504 0 0 0 0 0 0 0 0 0 0 0
73 0 -1005.792 2042.467 1971.744 -1005.638 2042.675 1971.751 0.154 0.208 0.007 5 3.1 4.2 0.1 0.259 0.259 5.2 5.2 36.5157 323.4843 1.5493 0 0 0 0 0 0 0 0 0 0 0
74 0 -986.854 2043.143 1980.492 -986.675 2043.281 1980.439 0.179 0.138 -0.053 5 3.6 2.8 -1.1 0.226 0.232 4.5 4.6 52.3696 307.6304 -13.197 0 0 0 0 0 0 0 0 0 0 0
95 255 -925.918 2073.66 1992.93 -925.499 2073.666 1992.728 0.419 0.006 -0.202 5 8.4 0.1 -4 0.419 0.465 8.4 9.3 89.1796 270.8204 -25.7364 0 0 0 0 0 0 0 0 0 0 0
96 255 -968.324 2073.044 1990.632 -968.147 2073.201 1990.419 0.177 0.157 -0.213 5 3.5 3.1 -4.3 0.237 0.318 4.7 6.4 48.4268 311.5732 -41.9956 0 0 0 0 0 0 0 0 0 0 0
97 255 -958.933 2073.329 1992.945 -958.679 2073.577 1992.809 0.254 0.248 -0.136 5 5.1 5 -2.7 0.355 0.38 7.1 7.6 45.6848 314.3152 -20.9621 0 0 0 0 0 0 0 0 0 0 0
98 255 -950.583 2073.257 1996.925 -950.292 2073.37 1997.138 0.291 0.113 0.213 5 5.8 2.3 4.3 0.312 0.378 6.2 7.6 68.778 291.222 34.3065 0 0 0 0 0 0 0 0 0 0 0
99 255 -933.126 2071.986 1993.708 -932.664 2072.045 1993.593 0.462 0.059 -0.115 5 9.2 1.2 -2.3 0.466 0.48 9.3 9.6 82.7224 277.2776 -13.8696 0 0 0 0 0 0 0 0 0 0 0
100 255 -967.141 2067.974 1991.095 -966.926 2068.095 1990.986 0.215 0.121 -0.109 5 4.3 2.4 -2.2 0.247 0.27 4.9 5.4 60.6296 299.3704 -23.8365 0 0 0 0 0 0 0 0 0 0 0
101 255 -944.182 2067.642 1994.427 -943.906 2067.663 1994.558 0.276 0.021 0.131 5 5.5 0.4 2.6 0.277 0.306 5.5 6.1 85.6489 274.3511 25.3268 0 0 0 0 0 0 0 0 0 0 0
102 255 -929.431 2066.892 1993.864 -928.998 2066.733 1993.96 0.433 -0.159 0.096 5 8.7 -3.2 1.9 0.461 0.471 9.2 9.4 110.1635 249.8365 11.7566 0 0 0 0 0 0 0 0 0 0 0
103 0 -977.567 2065.028 1986.77 -977.371 2065.138 1986.451 0.196 0.11 -0.319 5 3.9 2.2 -6.4 0.225 0.39 4.5 7.8 60.6978 299.3022 -54.8326 0 0 0 0 0 0 0 0 0 0 0
104 255 -941.46 2063.416 1993.633 -941.04 2063.351 1993.698 0.42 -0.065 0.065 5 8.4 -1.3 1.3 0.425 0.43 8.5 8.6 98.7974 261.2026 8.6955 0 0 0 0 0 0 0 0 0 0 0
105 0 -978.369 2063.427 1986.892 -978.122 2063.549 1986.554 0.247 0.122 -0.338 5 4.9 2.4 -6.8 0.275 0.436 5.5 8.7 63.714 296.286 -50.8183 0 0 0 0 0 0 0 0 0 0 0
106 255 -947.936 2062.39 1996.57 -947.716 2062.388 1996.801 0.22 -0.002 0.231 5 4.4 0 4.6 0.22 0.319 4.4 6.4 90.5209 269.4791 46.396 0 0 0 0 0 0 0 0 0 0 0
107 255 -964.815 2062.316 1992.443 -964.527 2062.461 1992.505 0.288 0.145 0.062 5 5.8 2.9 1.2 0.322 0.328 6.4 6.6 63.276 296.724 10.8841 0 0 0 0 0 0 0 0 0 0 0
108 255 -971.478 2060.363 1989.524 -971.217 2060.532 1989.327 0.261 0.169 -0.197 5 5.2 3.4 -3.9 0.311 0.368 6.2 7.4 57.0766 302.9234 -32.357 0 0 0 0 0 0 0 0 0 0 0
109 255 -956.859 2059.29 1994.109 -956.616 2059.426 1994.325 0.243 0.136 0.216 5 4.9 2.7 4.3 0.278 0.352 5.6 7 60.7655 299.2345 37.7997 0 0 0 0 0 0 0 0 0 0 0
110 255 -947.422 2058.351 1997.055 -947.162 2058.345 1997.243 0.26 -0.006 0.188 5 5.2 -0.1 3.8 0.26 0.321 5.2 6.4 91.322 268.678 35.8626 0 0 0 0 0 0 0 0 0 0 0
111 255 -925.62 2057.64 1988.913 -925.294 2057.968 1989.73 0.326 0.328 0.817 5 6.5 6.6 16.3 0.462 0.939 9.2 18.8 44.8248 315.1752 60.4887 0 0 0 0 0 0 0 0 0 0 0
113 0 -976.1 2053.899 1987.319 -975.821 2054.035 1987.139 0.279 0.136 -0.18 5 5.6 2.7 -3.6 0.31 0.359 6.2 7.2 64.0128 295.9872 -30.1108 0 0 0 0 0 0 0 0 0 0 0
114 255 -940.937 2052.875 1993.629 -940.457 2052.962 1993.426 0.48 0.087 -0.203 5 9.6 1.7 -4.1 0.488 0.528 9.8 10.6 79.7267 280.2733 -22.594 0 0 0 0 0 0 0 0 0 0 0
116 0 -977.997 2050.491 1986.604 -977.762 2050.636 1986.484 0.235 0.145 -0.12 5 4.7 2.9 -2.4 0.276 0.301 5.5 6 58.3245 301.6755 -23.4884 0 0 0 0 0 0 0 0 0 0 0
117 255 -945.212 2050.956 1996.162 -944.934 2050.989 1996.207 0.278 0.033 0.045 5 5.6 0.7 0.9 0.28 0.284 5.6 5.7 83.2304 276.7696 9.1317 0 0 0 0 0 0 0 0 0 0 0
119 255 -959.029 2048.332 1991.784 -958.744 2048.51 1991.847 0.285 0.178 0.063 5 5.7 3.6 1.3 0.336 0.342 6.7 6.8 58.0127 301.9873 10.6191 0 0 0 0 0 0 0 0 0 0 0
120 255 -947.942 2048.168 1996.333 -947.649 2048.279 1996.598 0.293 0.111 0.265 5 5.9 2.2 5.3 0.313 0.41 6.3 8.2 69.2513 290.7487 40.2238 0 0 0 0 0 0 0 0 0 0 0
121 0 -974.998 2047.652 1988.011 -974.703 2047.728 1987.873 0.295 0.076 -0.138 5 5.9 1.5 -2.8 0.305 0.334 6.1 6.7 75.5532 284.4468 -24.3708 0 0 0 0 0 0 0 0 0 0 0
124 255 -952.899 2045.239 1992.766 -952.566 2045.392 1992.963 0.333 0.153 0.197 5 6.7 3.1 3.9 0.366 0.416 7.3 8.3 65.3231 294.6769 28.2609 0 0 0 0 0 0 0 0 0 0 0
125 255 -926.598 2046.102 1978.499 -926.362 2046.633 1979.232 0.236 0.531 0.733 5 4.7 10.6 14.7 0.581 0.935 11.6 18.7 23.9625 336.0375 51.5945 0 0 0 0 0 0 0 0 0 0 0
